Country_Name,ISO3,Ladder Score,Tech,Health,Education,Violence,Inequality,Tech_Level,Health_Level,Education_Level,Violence_Level,Inequality_Level,region,subregion
Albania,ALB,5.304,84.7,45.0,8.953018,326.0,0.4672302,3,3,3,1,2,Europe,Southern Europe
Algeria,DZA,5.364,80.9,26.2,7.0915527,19336.0,0.48798555,2,1,2,4,2,Africa,North Africa
Argentina,ARG,6.188,83.4,54.4,8.41131,206262.0,0.56124043,3,4,3,5,3,Americas,South America
Armenia,ARM,5.455,86.4,61.8,7.994621,357.0,0.58842224,3,5,2,1,3,Asia,Eastern Europe
Australia,AUS,7.057,95.1,71.1,11.222505,108288.0,0.48174992,5,5,5,5,2,Oceania,Oceania
Austria,AUT,6.905,94.3,56.9,10.906205,9301.0,0.438074,5,4,4,3,1,Europe,Western Europe
Azerbaijan,AZE,4.893,80.4,34.7,8.281513,415.0,0.5556126,2,2,2,1,3,Asia,Middle East
Bangladesh,BGD,3.886,62.0,35.5,5.989421,1689.0,0.47316957,1,2,1,2,2,Asia,South Asia
Belgium,BEL,6.894,89.3,59.3,11.183289,69031.0,0.40930387,4,4,5,5,1,Europe,Western Europe
Benin,BEN,4.377,45.4,25.4,5.6664166,5865.0,0.5783459,1,1,1,3,3,Africa,West Africa
Bosnia and Herzegovina,BIH,5.877,78.6,35.4,7.801883,665.0,0.47928673,2,2,2,1,2,Europe,Southern Europe
Botswana,BWA,3.383,78.7,33.6,5.0830455,19599.0,0.70033824,2,1,1,4,5,Africa,Southern Africa
Brazil,BRA,6.272,82.0,51.2,7.8728395,522783.0,0.6803458,2,3,2,5,5,Americas,South America
Bulgaria,BGR,5.463,88.7,59.9,8.687309,3781.0,0.54751986,4,5,3,2,3,Europe,Eastern Europe
Cameroon,CMR,4.874,44.2,28.6,5.2868743,6072.0,0.63769996,1,1,1,3,4,Africa,Central Africa
Canada,CAN,6.9,88.6,69.8,11.724046,124572.0,0.49672955,4,5,5,5,2,Americas,North America
Chile,CHL,6.36,91.7,56.2,9.40743,41037.0,0.7139481,4,4,4,5,5,Americas,South America
Colombia,COL,5.695,73.2,53.2,8.622162,153807.0,0.71688306,2,4,3,5,5,Americas,South America
Costa Rica,CRI,6.955,84.8,40.8,8.993311,15064.0,0.7225521,3,2,3,4,5,Americas,Central America
Croatia,HRV,5.942,89.6,48.8,10.446162,1496.0,0.4597075,4,3,4,2,1,Europe,Southern Europe
Cyprus,CYP,6.068,88.6,41.9,10.91709,240.0,0.45115986,4,3,4,1,1,Asia,Eastern Europe
Czechia,CZE,6.822,88.0,52.8,11.116524,5995.0,0.40781128,4,4,5,3,1,Europe,Eastern Europe
Denmark,DNK,7.583,97.1,64.4,11.098828,8454.0,0.5042631,5,5,5,3,2,Europe,Northern Europe
Ecuador,ECU,5.725,70.0,50.8,8.69649,24417.0,0.61041176,2,3,3,4,4,Americas,South America
Egypt,EGY,3.977,76.8,28.0,6.5293627,726.0,0.5713854,2,1,2,1,3,Africa,North Africa
El Salvador,SLV,6.469,66.1,40.8,7.6372886,11602.0,0.6012782,1,2,2,4,4,Americas,Central America
Estonia,EST,6.448,97.9,55.5,11.719313,421.0,0.5031409,5,4,5,1,2,Europe,Eastern Europe
Eswatini,SWZ,3.502,70.4,29.3,4.5254297,4252.0,0.7046755,2,1,1,3,5,Africa,Southern Africa
Finland,FIN,7.741,98.1,70.9,11.738752,6836.0,0.41333947,5,5,5,3,1,Europe,Northern Europe
France,FRA,6.609,89.8,61.9,11.2687235,481222.0,0.46119687,4,5,5,5,1,Europe,Western Europe
Georgia,GEO,5.185,87.8,52.6,8.273992,617.0,0.5690983,3,4,2,1,3,Asia,Eastern Europe
Germany,DEU,6.719,87.8,65.5,11.03309,199244.0,0.4600404,3,5,5,5,1,Europe,Western Europe
Ghana,GHA,4.289,66.2,34.3,5.9587283,52896.0,0.60783875,1,2,1,5,4,Africa,West Africa
Greece,GRC,5.934,86.5,51.5,9.964251,1842.0,0.46320945,3,4,4,2,2,Europe,Southern Europe
Guatemala,GTM,6.287,51.7,29.1,6.29769,32698.0,0.6512723,1,1,1,4,5,Americas,Central America
Honduras,HND,5.968,60.9,26.2,6.133804,5513.0,0.6512723,1,1,1,3,5,Americas,Central America
Hungary,HUN,6.017,87.4,54.4,10.271568,14069.0,0.44303623,3,4,4,4,1,Europe,Eastern Europe
Iceland,ISL,7.525,95.9,48.5,10.718311,768.0,0.38142487,5,3,4,1,1,Europe,Northern Europe
Indonesia,IDN,5.568,82.8,50.4,7.8277683,39133.0,0.5309253,2,3,2,4,3,Asia,Southeast Asia
Iraq,IRQ,5.166,73.9,24.0,4.0308604,415.0,0.6123084,2,1,1,1,4,Asia,Middle East
Ireland,IRL,6.838,90.7,55.3,11.594797,9358.0,0.524745,4,4,5,3,2,Europe,Northern Europe
Israel,ISR,7.341,92.5,47.2,10.586509,16273.0,0.59364897,4,3,4,4,4,Asia,Middle East
Italy,ITA,6.324,87.7,51.9,10.451879,69775.0,0.531018,3,4,4,5,3,Europe,Southern Europe
Jamaica,JAM,5.842,76.9,31.8,7.057986,4331.0,0.6512723,2,1,2,3,5,Americas,North America
Japan,JPN,6.06,93.2,60.5,11.735149,26267.0,0.5364195,5,5,5,4,3,Asia,East Asia
Jordan,JOR,4.186,84.9,42.8,7.6661263,1946.0,0.58535653,3,3,2,2,3,Asia,Middle East
Kazakhstan,KAZ,6.188,90.1,46.1,9.127437,4242.0,0.47160324,4,3,3,3,2,Asia,Central Asia
Kenya,KEN,4.47,58.5,38.8,8.469239,29796.0,0.59904,1,2,3,4,4,Africa,Central Africa
"Korea, Republic of",KOR,6.058,94.4,65.4,11.684028,49357.0,0.42824537,5,5,5,5,1,Asia,East Asia
Kuwait,KWT,6.951,100.0,36.8,7.382034,1553.0,0.64094096,5,2,2,2,5,Asia,Middle East
Kyrgyzstan,KGZ,5.714,88.3,42.4,8.652101,52.0,0.54257923,4,3,3,1,3,Asia,Central Asia
Latvia,LVA,6.234,94.3,61.9,10.978801,885.0,0.47657734,5,5,4,1,2,Europe,Eastern Europe
Lesotho,LSO,3.186,48.8,30.9,6.314051,7394.0,0.6188754,1,1,1,3,4,Africa,Southern Africa
Lithuania,LTU,6.818,94.2,59.5,10.975232,286.0,0.61700785,5,5,4,1,4,Europe,Eastern Europe
Luxembourg,LUX,7.122,92.6,48.4,9.795577,1140.0,0.4417632,4,3,4,2,1,Europe,Western Europe
Madagascar,MDG,4.228,29.9,30.4,4.713441,3315.0,0.6137857,1,1,1,2,4,Africa,Southern Africa
Malaysia,MYS,5.975,95.0,56.4,8.889285,7272.0,0.5886043,5,4,3,3,4,Asia,Southeast Asia
Malta,MLT,6.346,93.5,40.2,10.193024,361.0,0.46547538,5,2,4,1,2,Europe,Southern Europe
Mauritius,MUS,5.816,84.2,39.7,9.405725,902.0,0.57470345,3,2,3,2,3,Africa,Southern Africa
Mexico,MEX,6.678,80.7,57.0,8.824254,149190.0,0.74880934,2,4,3,5,5,Americas,North America
"Moldova, Republic of",MDA,5.816,78.3,41.0,8.288821,732.0,0.46374163,2,2,2,1,2,Europe,Eastern Europe
Mongolia,MNG,5.696,87.0,41.0,9.153257,912.0,0.56478983,3,2,3,2,3,Asia,East Asia
Montenegro,MNE,5.707,87.9,44.1,8.9080925,169.0,0.4627806,3,3,3,1,2,Europe,Southern Europe
Morocco,MAR,4.795,86.8,33.6,6.3176813,64608.0,0.59599656,3,1,1,5,4,Africa,North Africa
Mozambique,MOZ,5.216,32.0,30.4,4.471788,1139.0,0.72475654,1,1,1,2,5,Africa,Southern Africa
Myanmar,MMR,4.354,63.8,38.3,6.787967,879.0,0.61851215,1,2,2,1,4,Asia,Southeast Asia
Namibia,NAM,4.832,68.8,30.3,6.106065,10769.0,0.73661697,1,1,1,3,5,Africa,Southern Africa
Netherlands,NLD,7.319,92.5,64.7,11.539022,11195.0,0.44641772,4,5,5,3,1,Europe,Western Europe
New Zealand,NZL,7.029,90.3,62.5,11.390235,55822.0,0.47081438,4,5,5,5,2,Oceania,Oceania
Nicaragua,NIC,6.284,61.6,36.3,6.747723,3084.0,0.6512723,1,2,2,2,5,Americas,Central America
Nigeria,NGA,4.881,46.9,38.0,5.0383425,18849.0,0.5451492,1,2,1,4,3,Africa,West Africa
North Macedonia,MKD,5.369,82.0,42.2,7.296405,233.0,0.44076675,2,3,2,1,1,Europe,Southern Europe
Norway,NOR,7.302,93.4,60.2,11.233873,7111.0,0.3326726,5,5,5,3,1,Europe,Northern Europe
Pakistan,PAK,4.657,55.6,30.4,5.079235,60363.0,0.5453535,1,1,1,5,3,Asia,South Asia
Panama,PAN,6.358,77.6,53.5,6.4808674,12429.0,0.65127224,2,4,2,4,5,Americas,Central America
Paraguay,PRY,5.977,74.1,40.3,6.976486,7079.0,0.65127224,2,2,2,3,5,Americas,South America
Peru,PER,5.841,76.4,54.9,8.632247,27801.0,0.68563735,2,4,3,4,5,Americas,South America
Philippines,PHL,6.048,74.4,45.7,7.492334,3149.0,0.60398626,2,3,2,2,4,Asia,Southeast Asia
Poland,POL,6.442,95.8,55.7,11.374183,8750.0,0.4662378,5,4,5,3,2,Europe,Eastern Europe
Portugal,PRT,6.03,87.4,54.7,11.310053,4015.0,0.47284582,3,4,5,3,2,Europe,Southern Europe
Romania,ROU,6.491,87.6,45.7,8.369189,3327.0,0.4975346,3,3,3,2,2,Europe,Eastern Europe
Russian Federation,RUS,5.785,90.6,49.1,10.898087,38069.0,0.5819966,4,3,4,4,3,Europe,Eastern Europe
Saudi Arabia,SAU,6.594,95.7,44.9,7.8881774,19610.0,0.6504837,5,3,2,4,5,Asia,Middle East
Senegal,SEN,4.969,69.3,32.8,4.838319,435.0,0.58417815,1,1,1,1,3,Africa,West Africa
Serbia,SRB,6.411,87.7,45.0,9.752607,5796.0,0.47859696,3,3,4,3,2,Europe,Southern Europe
Sierra Leone,SLE,3.245,34.3,32.7,4.8547077,20494.0,0.57107264,1,1,1,4,3,Africa,West Africa
Singapore,SGP,6.523,97.8,57.4,12.81329,2468.0,0.42840317,5,4,5,2,1,Asia,Southeast Asia
Slovakia,SVK,6.257,87.1,54.4,9.799783,1939.0,0.3699517,3,4,4,2,1,Europe,Eastern Europe
Slovenia,SVN,6.743,90.8,67.8,11.370939,404.0,0.42248502,4,5,5,1,1,Europe,Southern Europe
South Africa,ZAF,5.422,83.6,45.8,5.603404,222915.0,0.7464854,3,3,1,5,5,Africa,Southern Africa
Spain,ESP,6.421,92.5,60.9,10.514696,35267.0,0.45626763,4,5,4,4,1,Europe,Southern Europe
Sri Lanka,LKA,3.898,71.3,34.1,8.462184,5486.0,0.5339537,2,1,3,3,3,Asia,South Asia
Sweden,SWE,7.344,95.3,64.9,11.580874,25581.0,0.43688342,5,5,5,4,1,Europe,Northern Europe
Switzerland,CHE,7.06,92.4,58.8,10.933773,3914.0,0.41825283,4,4,4,2,1,Europe,Western Europe
"Tanzania, United Republic of",TZA,3.781,43.1,31.3,4.4849176,2413.0,0.6125268,1,1,1,2,4,Africa,Central Africa
Thailand,THA,5.976,91.0,68.2,8.68309,11990.0,0.63839746,4,5,3,4,4,Asia,Southeast Asia
TÃ¼rkiye,TUR,4.975,87.5,50.0,9.227495,154057.0,0.6011082,3,3,3,5,4,Asia,Middle East
Uganda,UGA,4.372,40.4,36.5,4.335872,26218.0,0.62653303,1,2,1,4,4,Africa,Central Africa
Ukraine,UKR,4.873,81.0,38.9,9.874516,2737.0,0.5044114,2,2,4,2,2,Europe,Eastern Europe
United Arab Emirates,ARE,6.733,97.5,39.6,9.645997,896.0,0.5944058,5,2,4,1,4,Asia,Middle East
United Kingdom,GBR,6.749,93.6,67.2,11.538006,789425.0,0.4572862,5,5,5,5,1,Europe,Northern Europe
United States,USA,6.725,96.7,75.9,10.55677,1001634.0,0.6267754,5,5,4,5,4,Americas,North America
Uruguay,URY,6.611,89.9,40.3,8.551203,1329.0,0.581869,4,2,3,2,3,Americas,South America
Uzbekistan,UZB,6.195,84.9,39.0,9.133364,1374.0,0.6106439,3,2,3,2,4,Asia,Central Asia
Yemen,YEM,3.561,43.5,16.1,4.1787615,138.0,0.68257093,1,1,1,1,5,Asia,Middle East
Zimbabwe,ZWE,3.341,47.7,32.4,7.0066104,51469.0,0.68515366,1,1,2,5,5,Africa,Southern Africa
